Tag,Species,Site,Patch,Date,Timepoint,Tag.found,Bleaching.score.photo,Formalin.fixed,Sample.storage.location,Physiology.froze,Sample.storage.location,Molecular.froze,Sample.storage.location,Molecular.dna.rna.shield,Sample.storage.location,,,,,,,,,,
474,P. meandrina,Mahana,P1,20220215,2,yes,Yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP BIOCODE -40 C,Yes,GUMP BIOCODE -40 C,,,,,,,,,,
475,P. meandrina,Mahana,P1,20220215,2,yes,Yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP BIOCODE -40 C,Yes,GUMP BIOCODE -40 C,,,,,,,,,,
472,P. meandrina,Mahana,P2,20220215,2,yes,Yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP BIOCODE -40 C,Yes,GUMP BIOCODE -40 C,,,,,,,,,,
473,P. meandrina,Mahana,P2,20220215,2,yes,Yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP BIOCODE -40 C,Yes,GUMP BIOCODE -40 C,,,,,,,,,,
466,P. meandrina,Mahana,P3,20220215,2,yes,Yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP BIOCODE -40 C,Yes,GUMP BIOCODE -40 C,,,,,,,,,,
467,P. meandrina,Mahana,P3,20220215,2,yes,Yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP BIOCODE -40 C,Yes,GUMP BIOCODE -40 C,,,,,,,,,,
468,P. meandrina,Mahana,P4,20220215,2,yes,Yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP BIOCODE -40 C,Yes,GUMP BIOCODE -40 C,,,,,,,,,,
469,P. meandrina,Mahana,P4,20220215,2,yes,Yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP BIOCODE -40 C,Yes,GUMP BIOCODE -40 C,,,,,,,,,,
470,P. meandrina,Mahana,P5,20220215,2,yes,Yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP BIOCODE -40 C,Yes,GUMP BIOCODE -40 C,,,,,,,,,,
471,P. meandrina,Mahana,P5,20220215,2,yes,Yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP BIOCODE -40 C,Yes,GUMP BIOCODE -40 C,,,,,,,,,,
474,P. meandrina,Mahana,P1,20220315,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
475,P. meandrina,Mahana,P1,20220315,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
472,P. meandrina,Mahana,P2,20220315,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
473,P. meandrina,Mahana,P2,20220315,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
466,P. meandrina,Mahana,P3,20220315,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
467,P. meandrina,Mahana,P3,20220315,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
468,P. meandrina,Mahana,P4,20220315,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
469,P. meandrina,Mahana,P4,20220315,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
470,P. meandrina,Mahana,P5,20220315,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
471,P. meandrina,Mahana,P5,20220315,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
477,P. meandrina,Forereef,NA,20220217,1,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
478,P. meandrina,Forereef,NA,20220217,1,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
479,P. meandrina,Forereef,NA,20220217,1,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
480,P. meandrina,Forereef,NA,20220217,1,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
481,P. meandrina,Forereef,NA,20220217,1,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
482,P. meandrina,Forereef,NA,20220217,1,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
483,P. meandrina,Forereef,NA,20220217,1,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
484,P. meandrina,Forereef,NA,20220217,1,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
485,P. meandrina,Forereef,NA,20220217,1,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
476,P. meandrina,Forereef,NA,20220217,1,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
477,P. meandrina,Forereef,NA,20220316,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
478,P. meandrina,Forereef,NA,20220316,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
479,P. meandrina,Forereef,NA,20220316,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
480,P. meandrina,Forereef,NA,20220316,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
481,P. meandrina,Forereef,NA,20220316,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
482,P. meandrina,Forereef,NA,20220316,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
483,P. meandrina,Forereef,NA,20220316,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
484,P. meandrina,Forereef,NA,20220316,2,tag not found but sampled colony,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
485,P. meandrina,Forereef,NA,20220316,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
476,P. meandrina,Forereef,NA,20220316,2,yes,yes,Yes,GUMP LTER 4 C fridge,Yes,GUMP molecular -40,Yes,GUMP molecular -40,Yes,GUMP molecular -40,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
