full_sample_id,partner,timepoint,AFDW.mg.cm2,DW.mg.cm2
POC-469-20220616,sym,June,-567865.7890105067,41.212528791406726
POC-469-20220727,host,July,8.480072609573666,102.11551632679677
POC-469-20220727,sym,July,-4.8681898314219225,94.92184979364455
POC-469-20220811,host,August,0.8582796618859467,154.22625308966056
POC-469-20220811,sym,August,0.5941936120748742,152.15537831572544
POC-469-20220917,host,September,1.1006874359575147,107.72468701917535
POC-469-20220917,sym,September,0.4891944159811093,103.67184717010956
POC-469-20221015,host,October,0.7519403947443463,77.53515019418283
POC-469-20221015,host,October ,0.7519403947443463,77.53515019418283
POC-469-20221015,sym,October,0.14098882401454196,73.5609189295994
POC-469-20221015,sym,October ,0.14098882401454196,73.5609189295994
POC-469-20221104,host,NA,NA,NA
POC-469-20221104,sym,NA,NA,NA
POC-470-20220126,host,January,0.350730470423062,18.911386965211296
