pan_id,full_sample_id,partner,volume,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g,
173,POC-484-20220729,host,4,0.7461,0.7952,0.7849,0.0388
174,POC-485-20220729,host,4,0.7403,0.7989,0.7915,0.0512
175,POC-466-20220215,host,4,0.7477,0.8108,0.8065,0.0588
176,POC-467-20220215,host,4,0.7472,0.7975,0.796,0.0488
177,POC-468-20220215,host,4,0.73,0.7773,0.7754,0.0454
178,POC-469-20220215,host,4,0.7439,0.7932,0.7927,0.0488
179,POC-470-20220215,host,4,0.7372,0.7905,0.7844,0.0472
180,POC-471-20220215,host,4,0.7502,0.8027,0.7956,0.0454
181,POC-472-20220215,host,4,0.75,0.8038,0.7983,0.0483
182,POC-473-20220215,host,4,0.7425,0.792,0.7876,0.0451
183,POC-474-20220215,host,4,0.7499,0.8009,0.7948,0.0449
184,POC-475-20220215,host,4,0.7397,0.7947,0.7878,0.0481
185,POC-476-20220217,host,4,0.7592,0.808,0.7997,0.0405
186,POC-477-20220217,host,4,0.751,0.802,0.7933,0.0423
187,POC-478-20220217,host,4,0.7451,0.7953,0.7871,0.042
188,POC-479-20220217,host,4,0.7388,0.793,0.7845,0.0457
189,POC-480-20220217,host,4,0.7511,0.8015,0.7946,0.0435
190,POC-481-20220217,host,4,0.7478,0.8031,0.7919,0.0441
191,POC-482-20220217,host,4,0.7382,0.7792,0.7698,0.0316
192,POC-483-20220217,host,4,0.7501,0.8061,0.7925,0.0424
193,POC-484-20220217,host,4,0.7278,0.7813,0.7697,0.0419
194,POC-485-20220217,host,4,0.7483,0.8023,0.7908,0.0425
195,POC-466-20220315,host,4,0.7348,0.7897,0.7844,0.0496
196,POC-467-20220315,host,4,0.7291,0.7861,0.7769,0.0478
197,POC-468-20220315,host,4,0.7295,0.7846,0.7769,0.0474
198,POC-469-20220315,host,4,0.7316,0.7811,0.7779,0.0463
199,POC-470-20220315,host,4,0.7226,0.7741,0.7665,0.0439
200,POC-471-20220315,host,4,0.7302,0.7794,0.7719,0.0417
201,POC-472-20220315,host,4,0.7451,0.8106,0.7932,0.0481
202,POC-473-20220315,host,4,0.748,0.8125,0.8008,0.0528
203,POC-474-20220315,host,4,0.7285,0.7802,0.7732,0.0447
204,POC-475-20220315,host,4,0.7356,0.7878,0.7809,0.0453
205,POC-476-20220316,host,4,0.7475,0.7941,0.7852,0.0377
206,POC-477-20220316,host,4,0.7448,0.7925,0.7884,0.0436
207,POC-478-20220316,host,4,0.7368,0.7931,0.7829,0.0461
208,POC-479-20220316,host,4,0.746,0.8033,0.7927,0.0467
209,POC-480-20220316,host,4,0.7528,0.8054,0.7976,0.0448
210,POC-481-20220316,host,4,0.7438,0.7995,0.7869,0.0431
211,POC-482-20220316,host,4,0.7495,0.8033,0.7925,0.043
212,POC-483-20220316,host,4,0.7503,0.7999,0.7911,0.0408
213,POC-484-20220316,host,4,0.7333,0.7826,0.7758,0.0425
214,POC-485-20220316,host,4,0.7402,0.7896,0.7838,0.0436
3,POC-466-20220127,sym,5,1.1328,1.1564,1.1487,0.0159
4,POC-467-20220126,sym,5,1.1565,1.1759,1.1722,0.0157
5,POC-468-20220126,sym,5,1.1368,1.1517,1.1523,-0.0045
6,POC-469-20220126,sym,5,1.1258,1.1415,1.1393,0.0135
7,POC-470-20220126,sym,5,1.1476,1.1634,1.1633,0.0157
8,POC-471-20220126,sym,5,1.149,1.1665,1.1628,0.0138
9,POC-472-20220126,sym,3.5,1.1465,1.1601,1.156,0.0095
10,POC-473-20220126,sym,5,1.1419,1.163,1.1564,0.0145
11,POC-474-20220126,sym,5,1.1427,1.1658,1.1569,0.0142
12,POC-475-20220126,sym,5,1.1483,1.1694,1.1641,0.0158
14,POC-466-20221015,sym,5,1.1382,1.1615,1.1534,0.0152
15,POC-467-20221015,sym,5,1.126,1.1557,1.1451,0.0191
16,POC-468-20221015,sym,5,1.1215,1.1712,1.1645,0.043
17,POC-469-20221015,sym,5,0.7506,0.7651,0.7639,0.0133
18,POC-470-20221015,sym,5,0.7482,0.7672,0.7624,0.0142
19,POC-471-20221015,sym,5,0.7515,0.7739,0.7667,0.0152
20,POC-472-20221015,sym,5,0.7408,0.7667,0.7586,0.0178
21,POC-473-20221015,sym,5,0.7401,0.7554,0.7476,0.0075
22,POC-474-20221015,sym,5,0.7216,0.754,0.745,0.0234
23,POC-475-20221015,sym,5,0.7443,0.7692,0.7637,0.0194
24,POC-476-20221017,sym,5,0.7942,0.7748,0.7717,-0.0225
25,POC-477-20221017,sym,5,0.7469,0.7633,0.759,0.0121
26,POC-478-20221017,sym,5,0.7559,0.7812,0.7836,0.0277
27,POC-479-20221017,sym,5,0.7335,0.7547,0.7543,0.0208
28,POC-480-20221017,sym,5,0.7259,0.7485,0.7459,0.02
29,POC-481-20221017,sym,5,0.7354,0.7526,0.75,0.0146
30,POC-482-20221017,sym,5,0.7416,0.7606,0.7588,0.0172
31,POC-483-20221017,sym,5,0.7426,0.7581,0.7559,0.0133
32,POC-484-20221017,sym,5,0.7509,0.7676,0.761,0.0101
33,POC-485-20221017,sym,5,0.7305,0.7484,0.7418,0.0113
34,POC-466-20220811,sym,5,0.7457,0.7683,0.7648,0.0191
35,POC-467-20220811,sym,5,0.7491,0.768,0.7638,0.0147
36,POC-468-20220811,sym,5,0.755,0.7687,0.7654,0.0104
37,POC-469-20220811,sym,5,0.7501,0.7664,0.7637,0.0136
38,POC-470-20220811,sym,5,0.7268,0.7412,0.7402,0.0134
39,POC-471-20220811,sym,5,0.7549,0.7659,0.7646,0.0097
40,POC-472-20220811,sym,5,0.7296,0.7453,0.7422,0.0126
41,POC-473-20220811,sym,5,0.732,0.7522,0.7499,0.0179
42,POC-474-20220811,sym,5,0.7374,0.7537,0.7507,0.0133
