colony_id,date,full_sample_id,sample.type,diameter,weight1.g,weight2.g,timepoint,site,Notes
POC-466,20220917,POC-466-20220917,Coral,NA,10.242,10.835,backreef,September,
POC-474,20220917,POC-474-20220917,Coral,NA,29.524,31.625,backreef,September,
POC-471,20220917,POC-471-20220917,Coral,NA,14.991,15.936,backreef,September,
POC-475,20220917,POC-475-20220917,Coral,NA,8.891,8.958,backreef,September,
POC-469,20220917,POC-469-20220917,Coral,NA,22.803,24.536,backreef,September,
POC-483,20220930,POC-483-20220930,Coral,NA,12.402,13.506,forereef,September,
POC-478,20220930,POC-478-20220930,Coral,NA,11.493,12.344,forereef,September,
POC-479,20220930,POC-479-20220930,Coral,NA,13.921,14.936,forereef,September,
POC-484,20220930,POC-484-20220930,Coral,NA,11.313,12.129,forereef,September,
POC-480,20220930,POC-480-20220930,Coral,NA,9.882,10.735,forereef,September,
POC-485,20220930,POC-485-20220930,Coral,NA,13.177,14.042,forereef,September,
POC-481,20220930,POC-481-20220930,Coral,NA,6.773,7.433,forereef,September,
POC-482,20220930,POC-482-20220930,Coral,NA,24.182,25.905,forereef,September,
POC-476,20220930,POC-476-20220930,Coral,NA,9.12,9.931,forereef,September,
POC-477,20220930,POC-477-20220930,Coral,NA,7.585,8.263,forereef,September,
POC-474,20221015,POC-474-20221015,Coral,NA,18.032,19.259,backreef,October,
POC-469,20221015,POC-469-20221015,Coral,NA,13.421,14.733,backreef,October,
POC-472,20221015,POC-472-20221015,Coral,NA,12.839,14.274,backreef,October,
POC-470,20221015,POC-470-20221015,Coral,NA,28.843,30.656,backreef,October,
POC-467,20221015,POC-467-20221015,Coral,NA,26.022,27.955,backreef,October,
POC-473,20221015,POC-473-20221015,Coral,NA,12.898,13.9,backreef,October,
POC-471,20221015,POC-471-20221015,Coral,NA,26.248,28.186,backreef,October,
POC-475,20221015,POC-475-20221015,Coral,NA,19.966,21.133,backreef,October,
POC-468,20221015,POC-468-20221015,Coral,NA,18.518,19.823,backreef,October,
POC-466,20221015,POC-466-20221015,Coral,NA,16.262,17.565,backreef,October,
POC-479,20221017,POC-479-20221017,Coral,NA,26.086,28.246,forereef,October,
POC-477,20221017,POC-477-20221017,Coral,NA,28.313,30.811,forereef,October,
POC-480,20221017,POC-480-20221017,Coral,NA,22.742,24.479,forereef,October,
POC-485,20221017,POC-485-20221017,Coral,NA,19.91,20.711,forereef,October,
POC-484,20221017,POC-484-20221017,Coral,NA,19.773,21.968,forereef,October,
POC-483,20221017,POC-483-20221017,Coral,NA,16.897,18.453,forereef,October,
POC-476,20221017,POC-476-20221017,Coral,NA,13.671,15.086,forereef,October,
POC-482,20221017,POC-482-20221017,Coral,NA,13.133,13.993,forereef,October,
POC-478,20221017,POC-478-20221017,Coral,NA,10.383,11.097,forereef,October,
POC-481,20221017,POC-481-20221017,Coral,NA,13.928,14.953,forereef,October,
POC-471,20221111,POC-471-20221111,Coral,NA,11.694,12.434,backreef,November,
POC-475,20221111,POC-475-20221111,Coral,NA,15.582,16.487,backreef,November,
POC-474,20221111,POC-474-20221111,Coral,NA,16.383,17.139,backreef,November,
POC-469,20221111,POC-469-20221111,Coral,NA,8.46,9.108,backreef,November,
POC-467,20221111,POC-467-20221111,Coral,NA,4.332,4.655,backreef,November,
POC-466,20221111,POC-466-20221111,Coral,NA,23.967,25.592,backreef,November,
POC-468,20221111,POC-468-20221111,Coral,NA,26.304,27.718,backreef,November,
POC-470,20221111,POC-470-20221111,Coral,NA,15.57,16.852,backreef,November,
POC-473,20221111,POC-473-20221111,Coral,NA,9.915,10.689,backreef,November,
POC-472,20221111,POC-472-20221111,Coral,NA,13.049,13.98,backreef,November,
POC-485,20221110,POC-485-20221110,Coral,NA,22.245,23.799,forereef,November,
POC-477,20221110,POC-477-20221110,Coral,NA,8.789,9.421,forereef,November,
POC-480,20221110,POC-480-20221110,Coral,NA,17.205,18.357,forereef,November,
POC-482,20221110,POC-482-20221110,Coral,NA,11.568,12.703,forereef,November,
POC-483,20221110,POC-483-20221110,Coral,NA,9.91,10.685,forereef,November,
POC-484,20221110,POC-484-20221110,Coral,NA,18.02,19.408,forereef,November,
POC-478,20221110,POC-478-20221110,Coral,NA,14.381,15.6,forereef,November,
POC-481,20221110,POC-481-20221110,Coral,NA,7.156,7.812,forereef,November,
POC-476,20221110,POC-476-20221110,Coral,NA,13.875,15.2,forereef,November,
POC-479,20221110,POC-479-20221110,Coral,NA,29.36,32.018,forereef,November,
